 GRETA ( ) 
 GUE ( ) lemma=GUE  
 Gabon ( NOUN NOUN_PROPER_SINGULAR ) 
 Gabriel ( NOUN NOUN_PROPER_SINGULAR ) 
 Gabrielle ( NOUN NOUN_PROPER_SINGULAR ) 
 Gaby ( NOUN NOUN_PROPER_SINGULAR ) 
 Gaillac ( NOUN NOUN_PROPER_SINGULAR ) 
 Galicie ( NOUN NOUN_PROPER_SINGULAR ) 
 Galilée ( NOUN NOUN_PROPER_SINGULAR ) 
 Gall ( NOUN NOUN_PROPER_SINGULAR ) 
 Gamal ( NOUN NOUN_PROPER_SINGULAR ) 
 Gand ( NOUN NOUN_PROPER_SINGULAR ) 
 Gange ( NOUN NOUN_PROPER_SINGULAR ) 
 Gardanne ( NOUN NOUN_PROPER_SINGULAR ) 
 Gardiner ( NOUN NOUN_PROPER_SINGULAR ) 
 Garfield ( NOUN NOUN_PROPER_SINGULAR ) 
 Gargantua ( NOUN NOUN_PROPER_SINGULAR ) 
 Garibaldi ( NOUN NOUN_PROPER_SINGULAR ) 
 Garnier ( NOUN NOUN_PROPER_SINGULAR ) 
 Garonne ( NOUN NOUN_PROPER_SINGULAR ) 
 Garrigue ( NOUN NOUN_PROPER_SINGULAR ) 
 Gascogne ( NOUN NOUN_PROPER_SINGULAR ) 
 Gaspari ( NOUN NOUN_PROPER_SINGULAR ) 
 Gaston ( NOUN NOUN_PROPER_SINGULAR ) 
 Gaule ( NOUN NOUN_PROPER_SINGULAR ) 
 Gaules ( NOUN NOUN_PROPER_SINGULAR ) 
 Gaulle ( NOUN NOUN_PROPER_SINGULAR ) 
 Gaulois ( NOUN NOUN_PROPER_SINGULAR ) 
 Gauss ( NOUN NOUN_PROPER_SINGULAR ) 
 Gauthier ( NOUN NOUN_PROPER_SINGULAR ) 
 Gautier ( NOUN NOUN_PROPER_SINGULAR ) 
 Gavisse ( NOUN NOUN_PROPER_SINGULAR ) 
 Gavroche ( NOUN NOUN_PROPER_SINGULAR ) 
 Gaza ( NOUN NOUN_PROPER_SINGULAR ) 
 Gaëlle ( NOUN NOUN_PROPER_SINGULAR ) 
 Geneviève ( NOUN NOUN_PROPER_SINGULAR ) 
 Genève ( NOUN NOUN_PROPER_SINGULAR ) 
 Geoffroi ( NOUN NOUN_PROPER_SINGULAR ) 
 Geoffroy ( NOUN NOUN_PROPER_SINGULAR ) 
 George ( NOUN NOUN_PROPER_SINGULAR ) 
 Georgeon ( NOUN NOUN_PROPER_SINGULAR ) 
 Georges ( NOUN NOUN_PROPER_SINGULAR ) 
 Georgevitch ( NOUN NOUN_PROPER_SINGULAR ) 
 Gergovie ( NOUN NOUN_PROPER_SINGULAR ) 
 Gerlach ( NOUN NOUN_PROPER_SINGULAR ) 
 Germain ( NOUN NOUN_PROPER_SINGULAR ) 
 Germaine ( NOUN NOUN_PROPER_SINGULAR ) 
 Germains ( NOUN NOUN_PROPER_SINGULAR ) 
 Germanie ( NOUN NOUN_PROPER_SINGULAR ) 
 Germinal ( NOUN NOUN_PROPER_SINGULAR ) 
 Gertrude ( NOUN NOUN_PROPER_SINGULAR ) 
 Gervais ( NOUN NOUN_PROPER_SINGULAR ) 
 Gessner ( NOUN NOUN_PROPER_SINGULAR ) 
 Gibraltar ( NOUN NOUN_PROPER_SINGULAR ) 
 Gigamarché ( NOUN NOUN_PROPER_SINGULAR ) 
 Gilbert ( NOUN NOUN_PROPER_SINGULAR ) 
 Gilinski ( NOUN NOUN_PROPER_SINGULAR ) 
 Gilles ( NOUN NOUN_PROPER_SINGULAR ) 
 Girard ( NOUN NOUN_PROPER_SINGULAR ) 
 Girardin ( NOUN NOUN_PROPER_SINGULAR ) 
 Giraud ( NOUN NOUN_PROPER_SINGULAR ) 
 Gironde ( NOUN NOUN_PROPER_SINGULAR ) 
 Girondins ( NOUN NOUN_PROPER_SINGULAR ) 
 Giroux ( NOUN NOUN_PROPER_SINGULAR ) 
 Giselle ( NOUN NOUN_PROPER_SINGULAR ) 
 Gisèle ( NOUN NOUN_PROPER_SINGULAR ) 
 Glasgow ( NOUN NOUN_PROPER_SINGULAR ) 
 Godard ( NOUN NOUN_PROPER_SINGULAR ) 
 Goethe ( NOUN NOUN_PROPER_SINGULAR ) 
 Goff ( NOUN NOUN_PROPER_SINGULAR ) 
 Golan ( NOUN NOUN_PROPER_SINGULAR ) 
 Gomez ( NOUN NOUN_PROPER_SINGULAR ) 
 Gondi ( NOUN NOUN_PROPER_SINGULAR ) 
 Gondrecourt ( NOUN NOUN_PROPER_SINGULAR ) 
 Gonneville ( NOUN NOUN_PROPER_SINGULAR ) 
 Gontran ( NOUN NOUN_PROPER_SINGULAR ) 
 Goodyear ( NOUN NOUN_PROPER_SINGULAR ) 
 Gorbatchev ( NOUN NOUN_PROPER_SINGULAR ) 
 Gordes ( NOUN NOUN_PROPER_SINGULAR ) 
 Goslar ( NOUN NOUN_PROPER_SINGULAR ) 
 Gotha ( NOUN NOUN_PROPER_SINGULAR ) 
 Gothie ( NOUN NOUN_PROPER_SINGULAR ) 
 Gounod ( NOUN NOUN_PROPER_SINGULAR ) 
 Gouraud ( NOUN NOUN_PROPER_SINGULAR ) 
 Gozzo ( NOUN NOUN_PROPER_SINGULAR ) 
 Gracchus ( NOUN NOUN_PROPER_SINGULAR ) 
 Grampians ( NOUN NOUN_PROPER_SINGULAR ) 
 Grande ( NOUN NOUN_PROPER_SINGULAR ) 
 Grande-Bretagne ( NOUN NOUN_PROPER_SINGULAR ) 
 Grandet ( NOUN NOUN_PROPER_SINGULAR ) 
 Grandgousier ( NOUN NOUN_PROPER_SINGULAR ) 
 Granville ( NOUN NOUN_PROPER_SINGULAR ) 
 Graulhet ( NOUN NOUN_PROPER_SINGULAR ) 
 Grave ( NOUN NOUN_PROPER_SINGULAR ) 
 Graz ( NOUN NOUN_PROPER_SINGULAR ) 
 Grecs ( NOUN NOUN_PROPER_SINGULAR ) 
 Greenock ( NOUN NOUN_PROPER_SINGULAR ) 
 Gregory ( NOUN NOUN_PROPER_SINGULAR ) 
 Greig ( NOUN NOUN_PROPER_SINGULAR ) 
 Grenache ( NOUN NOUN_PROPER_SINGULAR ) 
 Grenade ( NOUN NOUN_PROPER_SINGULAR ) 
 Grenade-sur-l'Adour ( NOUN NOUN_PROPER_SINGULAR ) 
 Grenoble ( NOUN NOUN_PROPER_SINGULAR ) 
 Grimm ( NOUN NOUN_PROPER_SINGULAR ) 
 Groenlandais ( NOUN NOUN_SINGULAR ) lemma=Grœnlandais 
 Groenlandaise ( NOUN NOUN_SINGULAR ) lemma=Grœnlandais 
 Groenlandaises ( NOUN NOUN_SINGULAR ) lemma=Grœnlandais 
 Gropius ( NOUN NOUN_PROPER_SINGULAR ) 
 Groseille ( NOUN NOUN_PROPER_SINGULAR ) 
 Große ( NOUN NOUN_PROPER_SINGULAR ) 
 Grèce ( NOUN NOUN_PROPER_SINGULAR ) 
 Grégoire ( NOUN NOUN_PROPER_SINGULAR ) 
 Grégory ( NOUN NOUN_PROPER_SINGULAR ) 
 Guadeloupe ( NOUN NOUN_PROPER_SINGULAR ) 
 Guerda ( NOUN NOUN_PROPER_SINGULAR ) 
 Guibert ( NOUN NOUN_PROPER_SINGULAR ) 
 Guilland ( NOUN NOUN_PROPER_SINGULAR ) 
 Guillaume ( NOUN NOUN_PROPER_SINGULAR ) 
 Guillois ( NOUN NOUN_PROPER_SINGULAR ) 
 Gustave ( NOUN NOUN_PROPER_SINGULAR ) 
 Guta ( NOUN NOUN_PROPER_SINGULAR ) 
 Guterres ( NOUN NOUN_PROPER_SINGULAR ) 
 Guy ( NOUN NOUN_PROPER_SINGULAR ) 
 Guyane ( NOUN NOUN_PROPER_SINGULAR ) 
 Guyenne ( NOUN NOUN_PROPER_SINGULAR ) 
 Géode ( NOUN NOUN_PROPER_SINGULAR ) 
 Géorgie ( NOUN NOUN_PROPER_SINGULAR ) 
 Gérald ( NOUN NOUN_PROPER_SINGULAR ) 
 Géraldine ( NOUN NOUN_PROPER_SINGULAR ) 
 Gérard ( NOUN NOUN_PROPER_SINGULAR ) 
 Géraud ( NOUN NOUN_PROPER_SINGULAR ) 
 Gérôme ( NOUN NOUN_PROPER_SINGULAR ) 
 Gênes ( NOUN NOUN_PROPER_SINGULAR ) 
 Göteborg ( NOUN NOUN_PROPER_SINGULAR ) 
 g-test ( NOUN NOUN_SINGULAR ) 
 gaba ( VERB_PAST VERB ) lemma=gaber 
 gabai ( VERB_PAST VERB ) lemma=gaber 
 gabaient ( VERB ) lemma=gaber 
 gabais ( VERB ) lemma=gaber 
 gabait ( VERB ) lemma=gaber 
 gabant ( VERB_PRESENT_PARTICIPLE VERB ) lemma=gaber 
 gabardine ( NOUN NOUN_SINGULAR ) 
 gabardines ( NOUN NOUN_SINGULAR ) lemma=gabardine 
 gabare ( NOUN NOUN_SINGULAR ) 
 gabares ( NOUN NOUN_SINGULAR ) lemma=gabare 
 gabaria ( VERB_PAST VERB ) lemma=gabarier 
 gabariage ( NOUN NOUN_SINGULAR ) 
 gabariages ( NOUN NOUN_SINGULAR ) lemma=gabariage 
 gabariai ( VERB_PAST VERB ) lemma=gabarier 
 gabariaient ( VERB ) lemma=gabarier 
 gabariais ( VERB ) lemma=gabarier 
 gabariait ( VERB ) lemma=gabarier 
 gabariant ( VERB_PRESENT_PARTICIPLE VERB ) lemma=gabarier 
 gabarias ( VERB_PAST VERB ) lemma=gabarier 
 gabariasse ( VERB ) lemma=gabarier 
 gabariassent ( VERB ) lemma=gabarier 
 gabariasses ( VERB ) lemma=gabarier 
 gabariassiez ( VERB ) lemma=gabarier 
 gabariassions ( VERB ) lemma=gabarier 
 gabarie ( VERB_PRESENT VERB_PRESENT_3PS VERB ) lemma=gabarier 
 gabarient ( VERB_PRESENT VERB_PRESENT_3PS VERB ) lemma=gabarier 
 gabarier ( VERB_INFINITIVE NOUN VERB NOUN_SINGULAR ) 
 gabariera ( VERB ) lemma=gabarier 
 gabarierai ( VERB ) lemma=gabarier 
 gabarieraient ( VERB ) lemma=gabarier 
 gabarierais ( VERB ) lemma=gabarier 
 gabarierait ( VERB ) lemma=gabarier 
 gabarieras ( VERB ) lemma=gabarier 
 gabarierez ( VERB ) lemma=gabarier 
 gabarieriez ( VERB ) lemma=gabarier 
 gabarierions ( VERB ) lemma=gabarier 
 gabarierons ( VERB ) lemma=gabarier 
 gabarieront ( VERB ) lemma=gabarier 
 gabariers ( NOUN NOUN_SINGULAR ) lemma=gabarier 
 gabaries ( VERB_PRESENT VERB_PRESENT_3PS VERB ) lemma=gabarier 
 gabarieur ( NOUN NOUN_SINGULAR ) 
 gabarieurs ( NOUN NOUN_SINGULAR ) lemma=gabarieur 
 gabariez ( VERB_PRESENT VERB_PRESENT_3PS VERB ) lemma=gabarier 
 gabariiez ( VERB ) lemma=gabarier 
 gabariions ( VERB ) lemma=gabarier 
 gabarions ( VERB_PRESENT VERB_PRESENT_3PS VERB ) lemma=gabarier 
 gabarit ( NOUN NOUN_SINGULAR ) 
