 H ( NOUN NOUN_PROPER_SINGULAR ) 
 H&F ( NOUN NOUN_PROPER_SINGULAR ) 
 H&H ( NOUN NOUN_PROPER_SINGULAR ) 
 H&K ( NOUN NOUN_PROPER_SINGULAR ) 
 H&K-Geschäftsleitung ( NOUN NOUN_PROPER_SINGULAR ) 
 H&K-Waffen ( NOUN NOUN_PROPER_SINGULAR ) 
 H&M ( NOUN NOUN_PROPER_SINGULAR ) 
 H+M ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H- ( ) 
 H-Bombe ( NOUN NOUN_PROPER_SINGULAR ) 
 H-Bomben ( NOUN NOUN_PROPER_SINGULAR ) lemma=H-Bombe 
 H-Dealern ( NOUN NOUN_PROPER_SINGULAR ) lemma=H-Dealer 
 H-Dur ( NOUN NOUN_PROPER_SINGULAR ) 
 H-E-N-R-Y ( NOUN NOUN_PROPER_SINGULAR ) 
 H-FCKW ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H-Gruppe ( NOUN NOUN_PROPER_SINGULAR ) 
 H-J. ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H-K ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H-Klasse ( NOUN NOUN_PROPER_SINGULAR ) 
 H-Liste ( NOUN NOUN_PROPER_SINGULAR ) 
 H-Milch ( NOUN NOUN_PROPER_SINGULAR ) 
 H-Moll ( NOUN NOUN_PROPER_SINGULAR ) 
 H-Ranch ( NOUN NOUN_PROPER_SINGULAR ) 
 H-Trasse ( NOUN NOUN_PROPER_SINGULAR ) 
 H-U. ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H-förmigen ( ADJECTIVE ) lemma=H-förmig 
 H. ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.+ ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.+C. ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.+H. ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.+J. ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.+L. ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H., ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.- ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-.F. ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-A. ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-Achim ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-Albert ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-Andreas ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-Aunie ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-B. ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-Bernd ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-Bruno ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-C. ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-C.-W. ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-Ch. ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-Chr. ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-Christian ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-Christoph ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-Claus ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 H.-D ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
