 direct_tv DirecTV
 just_answers JustAnswer
 justanswers JustAnswer
 pls please
 just_answer JustAnswer
 voice_mail voicemail
 wireles wireless
 hi_sense HiSense
 anti-virus antivirus
 adaptor adapter
 win7 Windows+7
 epsom Epson
 dissapear disappear
 disapear disappear
 dissappear disappear
 check_point CheckPoint
 power_shot PowerShot
 can_t cant
 won_t wont
 don_t dont
 dissappear disappear
 borther brother
 win8 Windows+8
 design_jet DesignJet
 desk_top desktop
 lap_top laptop
 win10 Windows+10
 win_7 Windows+7
 win_8 Windows+8
 play_station PlayStation
 brothers brother
 fujixerox Fuji+Xerox
 assignmant assignment
 asignment assignment
 win_10 Windows+10
 Rica_voyager RCA+Voyager
 A.O.L. AOL
 A_O_L AOL
 Philip's Philips
 Phillip's Philips
 acct account
 all_in_one all-in-one
 auto-focus autofocus
 app application
 base_station base+station
 bcs because
 buton button
 bluray Blu-ray
 blueray Blu-ray
 blue_ray Blu-ray
 blu_ray Blu-ray
 blueray Blu-ray
 bluray Blu-ray
 bootup boot+up
 cannon Canon
 chanel channel
 cartrige cartridge
 cartredge cartridge
 cartrege cartridge
 cartrage cartridge
 chanels channel
 chasis chassis
 M# model
 my_cell my+phone
 cell_phone phone
 cabel cable
 com-cast Comcast
 cannon Canon
 CyberpowerPC CyberPower
 d_link D-Link
 dlink D-Link
 desk_jet DeskJet
 dissapear disappear
 disapear disappear
 dissappear disappear
 office_jet OfficeJet
 lazer_jet LaserJet
 laser_jet LaserJet
 doc document
 e_book ebook
 e-journal ebook
 digital_book ebook
 e_mail email
 reader e-reader
 e-book_device e-reader
 e_reader e-reader
 eReader e-reader
 e-book_reader e-reader
 err error
 fb Facebook
 face_book Facebook
 flakey flaky
 g_p_s GPS
 g-mail Gmail
 g_mail Gmail
 gague gauge
 hand_set handset
 h_p HP
 harddrive hard+drive
 Hewlett_Packard HP
 Hewlett-Packard HP
 hot_mail Hotmail
 pay_pal PayPal
 i_d ID
 i_Mac iMac
 i_Pad iPad
 i_Phone iPhone
 coolplx CoolPix
 iconic_one Iconia+One
 ie11 Internet+Explorer+11
 ie_11 Internet+Explorer+11
 magic_jack magicJack
 msie11 Internet+Explorer+11
 msie_11 Internet+Explorer+11
 ie10 Internet+Explorer+10
 ie_10 Internet+Explorer+10
 msie10 Internet+Explorer+10
 msie_10 Internet+Explorer+10
 ie9 Internet+Explorer+9
 ie_9 Internet+Explorer+9
 msie9 Internet+Explorer+9
 msie_9 Internet+Explorer+9
 ie8 Internet+Explorer+8
 ie_8 Internet+Explorer+8
 msie8 Internet+Explorer+8
 msie_8 Internet+Explorer+8
 instal install
 internet Internet
 j_v_c JVC
 l_g LG
 lap_top laptop
 lazer laser
 lazerjet LaserJet
 Lenova Lenovo
 link_sys Linksys
 lop_top laptop
 land_line landline
 loptop laptop
 m._s. Microsoft
 & and
 m_s Microsoft
 m_s_i MSI
 mac_book MacBook
 menstrate menstruate
 menstration menstruation
 micro_soft Microsoft
 msg message
 n_e_c NEC
 net_book netbook
 net_gear NETGEAR
 nikkon Nikon
 note_book notebook
 out_look Outlook
 off-line offline
 on_line online
 paroll parole
 pass_word password
 pw password
 passward password
 ps2 PlayStation+2
 playstation2 PlayStation
 playstation3 PlayStation
 playstation4 PlayStation
 ps3 PlayStation+3
 ps4 PlayStation+4
 pavillion Pavilion
 phillips Philips
 pic picture
 paper_white PaperWhite
 kindle_white Kindle+PaperWhite
 power_book PowerBook
 power_shot PowerShot
 psudocode pseudocode
 psuedocode pseudocode
 soundsystem sound+system
 net_work network
 blue_tooth BlueTooth
 sudocode pseudocode
 pw password
 re_install reinstall
 rotiserie rotisserie
 smart_phone smartphone
 swith switch
 simcard SIM
 synch sync
 sinc sync
 seri Siri
 squeek squeak
 sudocode pseudocode
 start-up startup
 sound_bar soundbar
 telephone phone
 television TV
 the_er the+emergency+room
 to_er to+the+emergency+room
 tread_mill treadmill
 tredmill treadmill
 t-bird Thunderbird
 t.v. TV
 u_s_b USB
 un_install uninstall
 up_gread upgrade
 up_grade upgrade
 vid video
 visio Vizio
 wirlessly wirelessly
 wi-fi WiFi
 wi_fi Wifi
 WorkCenter WorkCentre
 web_site website
